open_time,open,high,low,close,volume
1.6416E+12,41566.48,42246.37,41558,41810.91,3546.24518
1.64161E+12,41810.92,41999.99,41739,41913.58,2135.49013
1.64163E+12,41913.59,42200,41767.16,41940.22,3321.30192
1.64164E+12,41940.22,42063.23,41400,41613.33,4171.17885
1.64166E+12,41609.6,41740.53,40501,40831.07,12549.74604
1.64167E+12,40831.06,42300,40720,41679.74,7228.76899
1.64169E+12,41679.74,42170.11,41388.13,41833.89,4255.72958
1.6417E+12,41833.9,42103.31,41681.17,41791.51,2460.7712
1.64172E+12,41791.5,41990,41410,41857.62,3137.48125
1.64173E+12,41857.62,41923.39,41200.02,41621.11,3367.82823
1.64174E+12,41621.11,42740,41556.49,42695.26,5802.65087
1.64176E+12,42695.27,42786.7,41766.43,41864.62,3699.93313
1.64177E+12,41864.62,42037.05,41601,41967.59,3090.07632
1.64179E+12,41967.59,42248.5,41811.7,42042.38,3216.0852
1.6418E+12,42042.38,42116.61,41455,41565.34,4092.19411
1.64182E+12,41565.33,41616.72,39650,40984.33,22660.39365
1.64183E+12,40984.34,42121.63,40564.89,41297.15,13657.42788
1.64184E+12,41297.15,41985,41158.99,41822.49,4012.99303
1.64186E+12,41822.49,42400.01,41544.64,42277.98,4934.14719
1.64187E+12,42277.99,42387.78,41971.37,42211.05,3883.13068
1.64189E+12,42212.21,42627.66,41575,41809.99,6072.63206
1.6419E+12,41809.99,42200,41268.93,41733.93,7345.13139
1.64192E+12,41733.92,43100,41680.44,42972.05,11896.68845
1.64193E+12,42972.04,43095.26,42597.41,42729.29,3164.70752
1.64195E+12,42729.29,42965,42450,42605.02,3086.64021
1.64196E+12,42605.01,42867.55,42463.13,42561.67,3336.77438
1.64197E+12,42561.66,43443.6,42508.69,42935.92,6248.56105
1.64199E+12,42935.92,44078.4,42874.01,43560.29,12273.47054
1.642E+12,43560.29,43886.26,43317,43743.11,4601.65301
1.64202E+12,43743.1,44322,43629.39,43902.66,4396.19361
1.64203E+12,43902.65,44075.42,43422.72,43509.93,3979.63723
1.64205E+12,43505.99,43795.44,43483.2,43699.99,3331.80419
1.64206E+12,43699.99,44014.51,43500,43602.31,4607.65385
1.64208E+12,43603.58,44500,42871.01,43200,11551.88285
1.64209E+12,43200.01,43500,42535,42700.67,6945.66481
1.6421E+12,42700.67,42888.18,42311.22,42560.11,4494.23469
1.64212E+12,42558.35,42784,42362.91,42623.87,4534.92179
1.64213E+12,42623.87,42978.1,42599.99,42660.01,4015.82873
1.64215E+12,42660,42688.84,41826.82,42012.94,7628.33288
1.64216E+12,42012.94,43347.42,41725.95,43109,8997.40197
1.64218E+12,43109,43408,42777,43077.93,4631.61759
1.64219E+12,43077.93,43448.78,43000,43059.96,2832.77996
1.6422E+12,43059.96,43174,42864.49,42927.96,2973.19446
1.64222E+12,42927.95,43099.81,42712.94,43088.12,2860.77788
1.64223E+12,43088.12,43283.83,42884.01,43017.59,2599.71462
1.64225E+12,43017.59,43406.96,42555,43401.21,4980.54141
1.64226E+12,43401.21,43564.15,43233.33,43528.34,4570.18496
1.64228E+12,43528.33,43800,43071.11,43084.29,3951.64283
1.64229E+12,43084.29,43153.63,42838,42977.22,2783.29728
1.64231E+12,42977.22,43253.68,42850.16,43202.21,2264.10918
